system:index,month,temperature,year,.geo
20150101,1,15.53085452,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150102,1,16.19603132,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150103,1,16.02741214,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150104,1,15.91670873,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150105,1,16.20830629,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150106,1,16.21613929,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150107,1,16.52597949,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150108,1,16.63090937,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150109,1,16.31111616,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150110,1,16.08668399,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150111,1,16.03096478,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150112,1,15.29883541,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150113,1,15.81018689,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150114,1,16.28827604,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150115,1,16.81894008,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150116,1,16.64883987,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150117,1,16.97422541,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150118,1,16.6066349,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150119,1,16.61250669,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150120,1,16.20606006,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150121,1,17.48787691,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150122,1,16.56143961,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150123,1,17.48236489,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150124,1,17.74868842,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150125,1,16.56039495,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150126,1,16.11871754,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150127,1,17.54609406,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150128,1,17.3954688,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150129,1,17.14951844,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150130,1,17.45480657,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150131,1,17.16993677,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150201,2,17.66449602,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150202,2,17.66150255,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150203,2,17.6036471,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150204,2,17.36231375,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150205,2,17.86703347,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150206,2,17.90837033,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150207,2,18.28593596,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150208,2,17.69364329,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150209,2,18.2999776,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150210,2,17.458632,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150211,2,17.30840794,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150212,2,18.25616995,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150213,2,19.06861128,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150214,2,18.4785701,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
